"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
616, 1.418775626510022e-01, -1.064141443654234e+01, 3.552589941195887e-01, -4.918273480762725e-01, 4.593848692126819e-05, 9.890844275484538e-01, -4.007281951573538e-03
540, 1.721539490118138e-03, -1.001192070360120e+01, 8.910154939844214e-01, -2.800263195798817e-01, -4.146325093147272e-05, 4.219629181381086e-01, -1.601637456824539e-01
539, 7.547637249667271e-03, -1.041541120533973e+01, 9.030528870530532e-01, -2.783468477047329e-01, -4.270986432002099e-05, 4.059765767759537e-01, -1.609923925812319e-01
536, 4.183737039842961e-03, -1.074257852778046e+01, 9.138688728287010e-01, -2.774800706316560e-01, -4.419528459436575e-05, 3.900895362754929e-01, -1.616115249690382e-01
535, 1.004675492167368e-02, -1.116010635742030e+01, 9.258321845290900e-01, -2.763770347819909e-01, -4.552158650623835e-05, 3.743255435915018e-01, -1.620184178145105e-01
534, 6.538147275721230e-03, -1.150055260131872e+01, 9.365395714755327e-01, -2.760408016140373e-01, -4.721755998861645e-05, 3.586875277512065e-01, -1.622048867077140e-01
533, 1.207479929387889e-02, -1.191518393912020e+01, 9.481568354308064e-01, -2.754910379916801e-01, -4.868437646454574e-05, 3.431988534453950e-01, -1.621633136471149e-01
532, 1.019058076304973e-02, -1.226040543494801e+01, 9.585534192846443e-01, -2.757854041142420e-01, -5.058102575990047e-05, 3.278928679042408e-01, -1.618881275983603e-01
531, 1.492196316335804e-02, -1.265829392230198e+01, 9.693882175834325e-01, -2.757769670600760e-01, -5.216855620520243e-05, 3.127717919495528e-01, -1.613750173499960e-01
530, 1.308885419228921e-02, -1.298614232579339e+01, 9.790028903192767e-01, -2.767603603511474e-01, -5.420829433986490e-05, 2.978478708810876e-01, -1.606209207931780e-01
529, 1.874941073856097e-02, -1.338432030424227e+01, 9.893928976142672e-01, -2.774700952874581e-01, -5.594166705812706e-05, 2.831542654336226e-01, -1.596271664223725e-01
528, 1.754902409972301e-02, -1.371723647439600e+01, 9.986497492922255e-01, -2.790962371799292e-01, -5.814149483734104e-05, 2.687049171666472e-01, -1.583996404886870e-01
527, 2.306059719763004e-02, -1.411887129123675e+01, 1.008560353098407e+00, -2.804936260034223e-01, -6.001089335370112e-05, 2.545033622501100e-01, -1.569446179106004e-01
526, 2.187679616343608e-02, -1.446244722989985e+01, 1.017461155047046e+00, -2.827677662543845e-01, -6.234433370893440e-05, 2.405830986273921e-01, -1.552724407843265e-01
525, 2.696889060536183e-02, -1.488402571361820e+01, 1.027212384354348e+00, -2.849190704345084e-01, -6.437894256762454e-05, 2.269565356045778e-01, -1.533927182752652e-01
524, 2.778218438322953e-02, -1.526517079289594e+01, 1.036138833735798e+00, -2.877753836012978e-01, -6.685677336934549e-05, 2.136354334665590e-01, -1.513158581131696e-01
523, 3.164507098822727e-02, -1.568976432431807e+01, 1.045407897862336e+00, -2.907034773636042e-01, -6.908609015162665e-05, 2.006410148863055e-01, -1.490548864867872e-01
522, 3.547552066533667e-02, -1.610893100143065e+01, 1.054277033056704e+00, -2.940408891161976e-01, -7.170011929871429e-05, 1.879741388647125e-01, -1.466179894191253e-01
520, 3.455037887814522e-02, -1.649375861701760e+01, 1.062480458288413e+00, -2.977179114744435e-01, -7.422303554608457e-05, 1.756579597024759e-01, -1.440081504081273e-01
519, 4.119048331649282e-02, -1.693429921393425e+01, 1.071138483900923e+00, -3.018677374797572e-01, -7.701653944803642e-05, 1.637051355587112e-01, -1.412263528327093e-01
518, 4.144492966268738e-02, -1.733031904785834e+01, 1.078788553142030e+00, -3.062690668369724e-01, -7.980029408027168e-05, 1.521370322869927e-01, -1.382790181983327e-01
517, 4.731184719603230e-02, -1.777746996272841e+01, 1.086360317357235e+00, -3.111695168645866e-01, -8.267795727045088e-05, 1.409639116463298e-01, -1.351737640699972e-01
509, 5.092303017294368e-02, -1.816691577292952e+01, 1.093092215435049e+00, -3.161024427859999e-01, -8.563287923192352e-05, 1.301864855825720e-01, -1.319210345052955e-01
508, 5.501008806120679e-02, -1.857357507280165e+01, 1.099509669877499e+00, -3.217156259451247e-01, -8.870818516294314e-05, 1.198146290926759e-01, -1.285368331463594e-01
428, 6.147004570773498e-02, -1.901262816985679e+01, 1.105881727829807e+00, -3.273695627609967e-01, -9.186343714788340e-05, 1.098763314320922e-01, -1.250456380608342e-01
355, 6.376498446246838e-02, -1.941209237737250e+01, 1.111145534434894e+00, -3.332326866404137e-01, -9.511769548795490e-05, 1.003586460298808e-01, -1.214597498827480e-01
354, 7.012961075802757e-02, -1.984222911527275e+01, 1.116146081625297e+00, -3.392197897961696e-01, -9.840615931266772e-05, 9.127835101500112e-02, -1.178006104394443e-01
287, 7.236872750397089e-02, -2.022561569352122e+01, 1.119818897611351e+00, -3.452803838526001e-01, -1.018144208018500e-04, 8.264737344339340e-02, -1.140786600603431e-01
221, 7.835965684723759e-02, -2.061924224226426e+01, 1.122850564455624e+00, -3.515905210661733e-01, -1.052431892195503e-04, 7.446653992783221e-02, -1.103009462153850e-01
161, 8.075715527770748e-02, -2.096696334436420e+01, 1.124952269677560e+00, -3.580760687532265e-01, -1.088577391770071e-04, 6.675310715960703e-02, -1.064833387844161e-01
149, 8.396711728833092e-02, -2.129196035516172e+01, 1.126054004863839e+00, -3.648126305222719e-01, -1.125363145829738e-04, 5.950359869004128e-02, -1.026259334615733e-01
148, 8.941435908598040e-02, -2.158003242064617e+01, 1.126202316542367e+00, -3.716082477013828e-01, -1.162395751291821e-04, 5.272091744529669e-02, -9.873795245905924e-02
147, 9.390364619199409e-02, -2.185437559721117e+01, 1.125365720306720e+00, -3.786406479978173e-01, -1.199835535755794e-04, 4.640551350775141e-02, -9.483551990811545e-02
146, 9.956894291219288e-02, -2.211568377189217e+01, 1.124028554383100e+00, -3.855337940216366e-01, -1.236593205844358e-04, 4.055945135619536e-02, -9.093914020811826e-02
